ra,dec,t03_bar_a07_no_bar_fraction,t03_bar_a06_bar_fraction
258.0385,31.96982,0.194,0.806
221.479,-2.758667,0.06,0.94
233.9154,-2.278761,0,1
218.9179,-1.49229,0,1
224.9903,-1.450901,0.077,0.923
227.1427,-1.365137,0.082,0.918
228.1913,-1.195341,0.108,0.892
212.558,51.11363,0.037,0.963
228.2389,45.44404,0.174,0.826
230.5338,44.48232,0.188,0.812
236.217,41.03309,0.195,0.805
237.8544,40.16633,0.118,0.882
201.3053,53.85346,0.067,0.933
227.4851,46.39959,0.172,0.828
243.8952,36.17974,0.114,0.886
243.2568,37.28749,0.196,0.804
244.923,36.08823,0.081,0.919
210.5754,13.10354,0,1
223.1568,11.32625,0,1
224.5967,11.23848,0.179,0.821
220.0217,12.32274,0.114,0.886
225.2362,11.5174,0.05,0.95
234.9061,9.653035,0.128,0.872
237.0328,9.167134,0.021,0.979
239.8623,8.715848,0.077,0.923
214.345,13.3917,0.184,0.816
170.27,31.25227,0.156,0.844
187.3047,32.19379,0.182,0.818
200.1824,31.31081,0.083,0.917
200.4394,31.23724,0.075,0.925
174.3737,32.25246,0,1
187.1288,32.54775,0.143,0.857
159.4946,30.46081,0.175,0.825
173.5003,22.31049,0.159,0.841
183.017,22.71173,0.162,0.838
183.1457,22.78472,0.061,0.939
209.4817,20.89367,0.189,0.811
223.6674,18.28354,0,1
151.0306,19.70337,0.143,0.857
155.7457,20.55339,0.182,0.818
157.0223,20.77101,0.184,0.816
157.3681,20.99161,0.029,0.971
161.5623,21.48785,0.143,0.857
166.0142,22.22391,0,1
174.4551,22.8785,0,1
138.0153,2.875856,0.146,0.854
157.9061,4.018637,0.171,0.829
158.7469,4.04713,0,1
166.2464,4.291148,0.125,0.875
177.0009,4.488143,0.041,0.959
177.3029,4.339887,0.043,0.957
183.1421,4.551951,0,1
185.1272,4.497124,0.028,0.972
137.6143,3.345258,0.107,0.893
138.3058,3.230491,0.069,0.931
183.7623,41.55936,0.139,0.861
191.789,41.28056,0,1
206.0696,39.50917,0,1
209.1647,38.92761,0,1
171.8924,41.20512,0.053,0.947
182.5685,41.96416,0.171,0.829
203.9587,40.2717,0.128,0.872
219.3423,36.56785,0.19,0.81
164.087,40.5187,0,1
167.9614,41.123,0.036,0.964
195.9451,41.96987,0,1
118.1997,38.83109,0,1
121.112,41.9484,0.159,0.841
126.4564,47.17442,0,1
131.4987,51.51311,0,1
133.3588,52.58503,0.075,0.925
134.8471,53.59864,0.129,0.871
143.1044,57.48289,0.184,0.816
121.1475,43.64974,0.062,0.938
123.8203,46.07524,0,1
136.4761,55.03592,0.129,0.871
234.2709,-1.833017,0.146,0.854
209.101,-1.932383,0.042,0.958
221.8678,-1.633926,0.065,0.935
230.4082,-1.465856,0.138,0.862
232.6849,-1.37865,0.053,0.947
205.6297,-1.671566,0.128,0.872
219.0702,-1.386956,0.036,0.964
234.9907,-0.9093857,0.17,0.83
208.29,-1.220887,0.085,0.915
254.9288,35.33023,0,1
224.5343,48.75596,0,1
200.3584,53.13543,0,1
216.511,49.52174,0.021,0.979
232.4375,42.91865,0.049,0.951
232.6525,42.71716,0.051,0.949
245.9991,29.03929,0.179,0.821
237.5352,35.48485,0,1
240.0529,33.88813,0.171,0.829
252.0214,24.4477,0.143,0.857
252.913,23.71043,0.088,0.912
238.35,35.51706,0.143,0.857
255.4444,22.01132,0,1
239.7931,35.03288,0,1
252.1757,25.5696,0.182,0.818
132.0387,23.48189,0,1
184.3644,35.55454,0.114,0.886
187.386,35.58694,0.143,0.857
199.9927,34.66969,0,1
214.0796,32.10924,0.172,0.828
226.1439,28.47158,0,1
234.8586,24.94357,0.176,0.824
238.0134,23.42031,0.139,0.861
240.8195,22.06604,0.067,0.933
140.2826,27.45733,0.065,0.935
171.0956,23.32707,0.057,0.943
156.8158,21.82149,0.19,0.81
157.4657,22.40041,0.04,0.96
166.4129,23.81466,0.148,0.852
167.1276,23.81221,0.184,0.816
170.6978,24.3082,0.128,0.872
172.3052,24.32692,0.167,0.833
155.8283,22.39078,0.071,0.929
156.2679,22.52218,0.105,0.895
166.3223,24.09281,0.028,0.972
154.9688,22.70287,0.179,0.821
170.7099,24.96444,0.158,0.842
167.1086,25.02147,0.107,0.893
172.4756,25.64313,0,1
121.0257,9.814483,0.088,0.912
123.5277,10.59492,0.128,0.872
232.3644,56.93286,0.176,0.824
140.3542,52.51593,0,1
162.7387,59.53734,0.19,0.81
131.23,47.74579,0.167,0.833
148.5968,56.88505,0.077,0.923
136.9198,52.57214,0.08,0.92
141.7487,55.4087,0,1
199.2567,6.357078,0.021,0.979
194.6019,6.906592,0.061,0.939
187.588,7.487691,0.125,0.875
189.0488,7.421932,0.047,0.953
196.0161,7.675632,0,1
199.9929,7.521597,0,1
198.8558,8.082173,0.133,0.867
199.5825,8.070287,0,1
187.7938,8.558039,0,1
115.6252,39.04093,0.08,0.92
116.9303,41.38638,0,1
124.3625,49.2569,0,1
130.3352,53.93865,0.185,0.815
139.349,59.05197,0.043,0.957
174.7081,66.93798,0.062,0.938
196.4227,66.68446,0.093,0.907
226.5642,5.820321,0.022,0.978
232.2941,5.170361,0,1
223.9418,6.427186,0.043,0.957
224.6147,48.57188,0.05,0.95
233.2834,44.53569,0.106,0.894
238.6645,41.15742,0.15,0.85
213.9156,52.54401,0.195,0.805
207.0967,57.70474,0,1
210.5099,57.16475,0,1
213.4577,57.76959,0.057,0.943
225.0501,53.54405,0.108,0.892
225.2922,53.46591,0.103,0.897
239.1079,9.055179,0.022,0.978
236.6884,31.01124,0.12,0.88
239.6325,29.23475,0.06,0.94
244.8751,25.75802,0.026,0.974
245.4715,25.42124,0.194,0.806
234.787,32.40706,0.075,0.925
247.7489,24.6189,0.135,0.865
236.7819,32.49176,0.148,0.852
247.8558,25.08002,0.094,0.906
211.4996,12.59978,0,1
211.7456,12.56079,0.135,0.865
217.4429,11.76698,0.16,0.84
201.1384,32.61332,0.15,0.85
201.182,32.54028,0.054,0.946
245.8459,19.05618,0,1
185.9485,31.26155,0,1
207.6497,29.29083,0,1
216.9999,27.23875,0,1
169.9706,30.83895,0.162,0.838
173.287,31.1288,0,1
187.1208,31.81608,0.194,0.806
199.7242,30.80378,0,1
201.6605,30.70347,0.103,0.897
204.9473,30.12381,0.16,0.84
205.4267,30.12543,0,1
206.0998,29.8812,0,1
217.5464,27.53172,0.024,0.976
163.8747,20.94641,0.03,0.97
181.5775,22.26618,0,1
186.2138,22.35484,0,1
204.8144,21.11818,0,1
209.4876,20.65153,0.029,0.971
213.4227,19.83152,0.095,0.905
216.5316,19.38339,0.054,0.946
220.3623,18.61572,0,1
142.3411,17.26952,0.184,0.816
144.0518,17.64706,0,1
153.4274,19.75218,0,1
139.4163,52.99292,0,1
139.8099,53.22858,0.16,0.84
140.8994,53.60192,0,1
145.5866,55.74237,0.103,0.897
132.1645,50.09946,0.167,0.833
135.1199,51.90489,0,1
138.1167,53.26308,0.108,0.892
142.549,55.85242,0.024,0.976
147.1398,57.65916,0.154,0.846
146.0626,3.047906,0.064,0.936
150.2385,3.141825,0.138,0.862
160.4799,3.524187,0.137,0.863
169.8119,3.964261,0.056,0.944
181.2845,4.111081,0.029,0.971
133.9679,2.524291,0.026,0.974
215.7683,38.14232,0.094,0.906
220.4161,36.6474,0.182,0.818
168.9667,41.59104,0,1
208.3401,40.36394,0.091,0.909
212.6064,39.46733,0,1
164.5291,41.49314,0.119,0.881
190.4526,43.04714,0.179,0.821
214.0994,39.50219,0.037,0.963
217.9254,38.4145,0,1
225.0594,35.77696,0.185,0.815
226.198,35.36663,0.023,0.977
169.4374,42.56293,0,1
177.8042,43.4945,0.143,0.857
258.8511,57.35028,0,1
257.9175,59.99565,0.154,0.846
258.8834,58.60989,0,1
255.7783,59.79123,0,1
258.5302,57.47742,0.053,0.947
258.4868,57.27713,0,1
259.5989,55.35999,0.069,0.931
254.6117,63.2176,0,1
255.3676,63.69112,0.143,0.857
255.2795,64.67686,0.028,0.972
255.9145,64.13428,0.079,0.921
257.2479,62.89801,0.162,0.838
258.9116,60.63504,0.175,0.825
169.485,65.53822,0,1
183.2183,66.30933,0,1
214.0467,-1.268454,0,1
215.029,5.833634,0.042,0.958
228.856,4.681371,0.186,0.814
214.3289,6.136754,0,1
222.4994,5.723592,0.091,0.909
228.4043,5.140021,0.029,0.971
229.1679,4.996433,0.125,0.875
230.4808,5.062969,0.154,0.846
231.3781,4.806314,0.194,0.806
239.7193,4.073457,0,1
239.3507,41.903,0.143,0.857
252.6224,30.23538,0.1,0.9
231.0518,47.48359,0,1
243.1392,39.78984,0,1
249.5446,34.18496,0.156,0.844
253.1747,30.41686,0,1
253.4527,30.06698,0.143,0.857
230.8511,48.74901,0,1
237.8849,45.06207,0.156,0.844
218.5485,12.71412,0.195,0.805
209.2821,14.33072,0.032,0.968
224.0344,12.31337,0,1
205.702,14.93154,0.087,0.913
217.0768,13.78023,0.091,0.909
217.644,13.68953,0.071,0.929
220.1038,13.32033,0.135,0.865
225.7831,11.20306,0.061,0.939
226.1509,11.5939,0.156,0.844
196.9102,31.48697,0,1
205.7868,30.33773,0.095,0.905
207.9266,29.95979,0.077,0.923
209.8193,29.56175,0,1
183.1556,33.30011,0.062,0.938
201.187,32.24512,0.147,0.853
186.084,33.73782,0,1
223.3095,17.02236,0,1
144.292,16.9772,0.05,0.95
156.5665,19.43404,0,1
157.3722,19.62278,0.036,0.964
161.3033,20.1843,0.147,0.853
161.3507,20.34092,0.147,0.853
172.0407,21.43538,0.172,0.828
174.1897,21.71006,0.077,0.923
180.4191,21.89394,0,1
181.9933,21.91866,0,1
183.9038,21.90927,0.074,0.926
198.2732,21.49227,0.059,0.941
201.5807,21.03221,0.067,0.933
222.5338,17.58725,0.075,0.925
169.1895,5.908571,0.106,0.894
172.876,6.066137,0.091,0.909
182.7202,6.179034,0.069,0.931
184.5337,6.139545,0.108,0.892
184.8427,6.098679,0.045,0.955
203.427,3.655797,0,1
207.9684,3.455038,0.182,0.818
177.9202,4.306795,0.146,0.854
178.7185,4.269945,0,1
212.2805,36.00787,0.029,0.971
224.1243,32.34636,0,1
234.2479,27.90041,0.132,0.868
240.8093,24.37322,0.024,0.976
131.2927,25.9616,0.083,0.917
153.7394,35.4125,0.185,0.815
166.821,38.29427,0,1
176.5173,39.2968,0,1
194.0015,66.3222,0.161,0.839
219.8879,62.00292,0.116,0.884
144.7251,60.8311,0.13,0.87
174.3669,66.54107,0,1
209.4592,65.01203,0.086,0.914
162.4501,65.70009,0.098,0.902
212.3716,64.91393,0,1
223.3051,62.14283,0.061,0.939
6.732346,0.3029461,0.031,0.969
323.1786,0.7713528,0.051,0.949
341.1569,0.7977339,0,1
343.5122,0.7054998,0.179,0.821
347.3344,0.7564951,0.049,0.951
353.2472,0.7219167,0,1
357.2231,0.6422586,0,1
8.810571,0.6959795,0.171,0.829
353.6656,1.054448,0.024,0.976
244.423,40.93382,0.167,0.833
248.133,37.64115,0,1
254.4009,30.78641,0.194,0.806
238.0395,46.3198,0.147,0.853
245.8568,40.20241,0.081,0.919
235.0762,49.31289,0,1
328.1094,-0.7626916,0,1
244.0287,23.83328,0.091,0.909
244.6398,23.38347,0.167,0.833
244.6943,23.38467,0.154,0.846
217.1989,36.24216,0.029,0.971
219.9845,35.19152,0.116,0.884
223.6206,34.00059,0.103,0.897
229.9247,31.48489,0.067,0.933
231.2062,31.08113,0,1
221.9718,34.97926,0.114,0.886
251.2111,21.14203,0,1
251.4195,21.82195,0,1
254.0631,19.82456,0.157,0.843
250.7979,23.05298,0.161,0.839
252.2613,21.69809,0.167,0.833
217.6,32.9387,0.139,0.861
218.6371,32.66301,0.156,0.844
213.5856,34.59816,0.143,0.857
220.0772,32.76789,0.147,0.853
158.5221,30.10385,0,1
165.7397,31.39272,0.105,0.895
146.8921,27.39234,0.136,0.864
168.0632,32.09348,0.056,0.944
159.8048,31.11401,0.095,0.905
176.187,33.32096,0.086,0.914
237.7788,20.20251,0.136,0.864
238.2175,19.9697,0.081,0.919
230.1333,24.28182,0.093,0.907
238.2334,21.10051,0.025,0.975
240.3719,19.93335,0.086,0.914
248.6982,15.91109,0.122,0.878
233.9688,14.51772,0.128,0.872
162.5041,20.57302,0.191,0.809
181.8678,22.25934,0,1
183.0108,22.27692,0.037,0.963
191.6918,21.98511,0.156,0.844
194.9472,21.81321,0.114,0.886
200.6617,21.34547,0.062,0.938
212.193,19.91118,0,1
193.524,5.386621,0,1
201.0402,5.259718,0.08,0.92
201.3302,5.356454,0,1
205.0171,5.204271,0,1
168.6283,5.725948,0.149,0.851
173.1729,5.808321,0.024,0.976
176.0476,5.823648,0,1
185.8428,6.040723,0.043,0.957
169.7485,61.59394,0.192,0.808
240.4188,46.08536,0.115,0.885
226.0655,35.81668,0,1
203.8951,37.30355,0.15,0.85
138.7647,29.26998,0,1
146.5437,32.43171,0,1
166.1836,37.76234,0,1
203.2139,37.73217,0.098,0.902
201.1843,1.412384,0.129,0.871
202.4241,1.360717,0,1
203.1884,1.427277,0,1
203.8523,1.410595,0.03,0.97
216.1382,1.177319,0.068,0.932
200.965,1.884767,0,1
206.5243,1.78703,0,1
213.4779,1.731037,0.186,0.814
214.1425,1.628154,0,1
48.08182,-0.068412,0.05,0.95
18.44301,0.3057252,0.026,0.974
18.48107,0.4119313,0.081,0.919
18.76515,0.4052251,0,1
18.62835,0.3245215,0.045,0.955
36.13541,0.2130139,0.175,0.825
41.93705,0.4141556,0.143,0.857
42.73942,0.3693982,0.156,0.844
53.17067,0.2458089,0,1
18.63043,0.7917445,0.146,0.854
24.00065,0.6635328,0.077,0.923
41.01596,0.7748974,0.137,0.863
151.0447,43.15195,0.167,0.833
134.7103,6.292994,0.045,0.955
140.1342,7.07407,0.053,0.947
139.0099,7.330025,0.02,0.98
142.8263,8.149549,0.111,0.889
220.1783,33.19062,0,1
221.4184,32.73809,0,1
223.9079,30.47701,0.182,0.818
230.5686,27.80721,0.05,0.95
231.1045,27.55983,0.075,0.925
232.579,27.02583,0.132,0.868
238.6307,24.1252,0.196,0.804
227.062,29.78794,0.078,0.922
242.7462,22.48516,0,1
232.6138,27.88861,0,1
203.8067,27.63015,0.118,0.882
217.5931,24.93483,0.075,0.925
223.5456,23.3044,0.051,0.949
194.5285,29.03457,0.043,0.957
197.4479,28.90694,0.088,0.912
208.8226,27.27786,0.186,0.814
209.7572,27.07646,0.182,0.818
211.3742,26.76539,0.146,0.854
225.8812,17.16735,0,1
225.8891,17.08916,0.171,0.829
242.3409,12.26971,0,1
126.0483,12.11575,0.125,0.875
136.3253,15.41582,0.175,0.825
138.0269,15.91255,0.127,0.873
145.5168,17.72898,0,1
196.0451,22.28966,0,1
211.4799,20.48421,0.152,0.848
214.5201,19.93587,0.16,0.84
219.3561,18.90799,0.156,0.844
234.6578,50.98537,0.024,0.976
231.1675,54.10879,0,1
196.0494,61.19472,0.088,0.912
195.0832,61.65504,0.162,0.838
205.7885,60.86931,0,1
181.2471,40.38689,0.077,0.923
198.8525,39.64893,0.167,0.833
199.7629,39.58933,0.069,0.931
229.3983,31.44456,0.061,0.939
238.1359,27.41757,0.182,0.818
131.9445,27.78649,0.182,0.818
145.0811,33.81053,0,1
146.452,34.37907,0,1
159.2317,38.05597,0,1
164.2675,39.16273,0.116,0.884
164.3299,39.02506,0.171,0.829
126.745,53.21244,0.085,0.915
140.4115,61.06696,0,1
261.5623,56.75933,0,1
263.2054,56.90129,0.114,0.886
262.5893,59.63989,0.194,0.806
260.7317,64.90851,0,1
259.9378,60.42127,0,1
257.6201,65.11985,0.135,0.865
314.9724,1.083924,0.14,0.86
328.619,-0.9667291,0,1
347.3104,-0.9823903,0,1
348.2318,-0.9069623,0.172,0.828
352.9633,-0.9639722,0.189,0.811
358.3737,-0.9193945,0.114,0.886
356.7518,-0.447405,0.143,0.857
219.9917,54.17148,0.029,0.971
228.3439,50.90615,0.167,0.833
245.2709,39.91739,0.1,0.9
223.0639,53.56594,0.028,0.972
234.1852,48.29377,0.129,0.871
245.8189,39.91988,0.178,0.822
251.9639,33.95295,0.098,0.902
223.2694,54.14842,0.047,0.953
231.6628,50.3191,0.162,0.838
220.5457,12.9429,0.024,0.976
236.1411,10.29315,0.125,0.875
238.6166,29.64706,0.057,0.943
241.5209,28.12889,0.15,0.85
243.4626,26.84209,0.135,0.865
239.0067,30.41741,0.065,0.935
243.4129,27.41985,0.098,0.902
243.6787,27.25978,0.023,0.977
244.1749,26.9497,0.095,0.905
238.8492,31.50803,0,1
225.2449,25.99166,0,1
226.6756,25.99518,0,1
224.893,27.11625,0,1
166.0196,30.02585,0.195,0.805
166.1719,30.03208,0.184,0.816
145.1371,25.49049,0.157,0.843
161.9297,29.77201,0.167,0.833
166.3556,31.10527,0.143,0.857
198.654,22.67434,0.19,0.81
208.1526,21.57783,0.097,0.903
215.0462,20.44631,0,1
222.4128,18.85949,0.025,0.975
223.7222,18.74599,0.093,0.907
163.6532,22.24431,0,1
190.4641,23.51065,0,1
193.5731,23.4187,0,1
162.6812,19.89305,0,1
173.6338,20.92158,0.163,0.837
173.813,21.06109,0,1
179.5165,21.24792,0.162,0.838
183.4424,4.847499,0.057,0.943
185.0445,4.906516,0.054,0.946
137.1419,3.677629,0.097,0.903
149.1063,4.335207,0.057,0.943
156.1197,4.679754,0.059,0.941
159.9973,4.788823,0.114,0.886
177.1238,5.224585,0.194,0.806
164.3419,5.385213,0,1
165.6679,5.404315,0.111,0.889
166.5081,5.545255,0.086,0.914
170.7741,5.577562,0.024,0.976
195.2958,39.74447,0.182,0.818
196.7092,39.51928,0.094,0.906
197.0899,39.46117,0,1
197.7969,39.3107,0,1
200.3828,39.1469,0.026,0.974
227.9014,31.71314,0.14,0.86
239.7323,25.96651,0.083,0.917
241.4641,24.95337,0.128,0.872
248.4166,20.71453,0.189,0.811
139.5007,31.11098,0.143,0.857
158.8836,37.64958,0.073,0.927
159.4724,37.77892,0.065,0.935
171.1334,39.78687,0.057,0.943
176.6209,40.18983,0.111,0.889
214.9794,3.216465,0,1
166.7235,1.249802,0.186,0.814
168.5333,1.247805,0,1
183.9952,1.364785,0.194,0.806
185.3503,1.291136,0.178,0.822
190.6982,1.378073,0.081,0.919
191.0408,1.301968,0.152,0.848
193.5863,1.284431,0.143,0.857
210.3255,1.168549,0.146,0.854
141.6863,1.154291,0,1
158.8171,1.477108,0.182,0.818
159.6639,1.458174,0,1
159.8017,1.458898,0,1
178.181,1.740768,0.158,0.842
181.1451,1.842357,0,1
196.4429,1.678657,0,1
197.388,1.673062,0.024,0.976
125.0972,35.41193,0.059,0.941
137.0387,43.62515,0,1
126.441,37.09163,0,1
132.0618,41.18649,0.091,0.909
130.4217,40.65745,0.098,0.902
162.5576,51.94499,0.028,0.972
147.715,8.227982,0,1
146.1347,8.637648,0.111,0.889
161.0474,9.808417,0.194,0.806
165.1652,8.990848,0.143,0.857
170.3228,9.152368,0.152,0.848
174.2566,9.236522,0,1
182.728,9.564462,0.075,0.925
122.5056,52.12864,0.024,0.976
138.4429,62.3318,0,1
112.0578,40.1616,0.182,0.818
121.2702,51.67465,0.195,0.805
124.6293,54.39259,0.191,0.809
121.7117,52.58533,0,1
112.7456,38.71425,0,1
113.7839,40.50559,0.108,0.892
216.0991,26.69024,0.103,0.897
250.6457,13.83671,0.031,0.969
198.5738,30.0708,0,1
209.8848,28.49315,0,1
218.004,26.613,0.041,0.959
225.3938,24.50881,0.026,0.974
194.9191,30.83445,0.1,0.9
211.5593,28.39446,0,1
222.0376,18.46891,0,1
223.3899,18.09771,0.083,0.917
133.4791,14.91539,0.136,0.864
156.8092,20.49207,0.05,0.95
158.8168,20.87524,0,1
160.4706,21.25255,0.107,0.893
166.613,22.03171,0.074,0.926
194.9618,22.71675,0.135,0.865
197.2952,22.46634,0.051,0.949
200.5359,22.27353,0.054,0.946
219.1494,57.79696,0.114,0.886
184.3645,62.83876,0,1
196.904,62.21589,0.049,0.951
203.3032,61.66042,0,1
190.5225,63.11263,0.167,0.833
208.7654,61.24366,0,1
197.5247,63.08916,0.182,0.818
198.3085,61.04837,0.188,0.812
215.0151,58.20108,0.194,0.806
223.235,55.56061,0,1
227.1448,7.002741,0,1
227.2113,6.969111,0.067,0.933
227.9673,6.809421,0,1
233.9662,6.058053,0,1
236.8875,5.665591,0,1
242.7486,4.854925,0.07,0.93
215.8666,8.595043,0,1
229.0797,7.162344,0.103,0.897
191.0962,10.18883,0.167,0.833
240.0357,53.86509,0.105,0.895
231.6546,59.23247,0.179,0.821
242.855,52.75748,0.027,0.973
153.3685,64.98859,0,1
184.0927,68.23518,0.159,0.841
243.8415,52.55205,0,1
244.9729,51.54652,0.098,0.902
184.6888,68.60249,0.167,0.833
153.2943,51.90726,0,1
150.6231,51.90538,0.178,0.822
154.6983,53.70814,0.171,0.829
144.2958,50.61226,0,1
170.1954,57.13298,0,1
20.49922,-1.040108,0.139,0.861
339.901,-0.6913158,0.041,0.959
340.0683,-0.3361223,0.098,0.902
343.0078,0.5832212,0,1
336.6838,0.9463889,0.16,0.84
145.9044,39.05606,0,1
138.6093,36.11227,0.028,0.972
236.6719,26.07303,0.186,0.814
245.5386,21.21944,0,1
246.0271,20.94132,0.077,0.923
231.1864,28.93449,0.088,0.912
113.9535,40.3273,0.162,0.838
122.9307,50.7491,0.075,0.925
127.6021,54.86004,0,1
113.057,39.56008,0.122,0.878
135.03,60.0828,0.024,0.976
142.2917,63.34072,0.184,0.816
243.2352,16.33452,0,1
207.6284,27.85588,0.02,0.98
211.9071,27.23015,0.044,0.956
213.2901,26.8032,0.139,0.861
225.0156,23.68692,0.105,0.895
194.9868,29.87012,0.194,0.806
207.3944,28.33095,0,1
209.572,28.06037,0.029,0.971
220.0821,19.28058,0.179,0.821
222.32,18.74401,0.194,0.806
222.7911,18.57539,0.175,0.825
224.1602,18.27037,0,1
228.7043,17.14299,0.085,0.915
239.0577,14.2667,0.028,0.972
135.4727,15.93257,0.087,0.913
140.4231,17.35536,0,1
157.558,21.21992,0,1
159.9618,21.56413,0,1
173.1219,22.96308,0,1
218.353,20.00566,0.16,0.84
219.487,19.90091,0.179,0.821
205.0868,60.75518,0.161,0.839
206.6429,60.30699,0.128,0.872
216.6062,58.30102,0,1
199.009,62.31077,0,1
220.0995,58.05211,0.028,0.972
201.4924,62.47028,0.026,0.974
218.2426,59.18185,0,1
185.4132,40.84893,0.105,0.895
189.0242,40.82703,0.067,0.933
212.0686,37.82,0.143,0.857
224.434,33.90635,0.125,0.875
230.8929,31.34661,0.02,0.98
231.0329,31.1825,0.195,0.805
237.6768,27.95877,0,1
199.8349,8.762117,0.167,0.833
209.9331,8.615429,0,1
214.4424,8.178187,0,1
217.3676,7.849276,0.154,0.846
259.882,62.27977,0,1
263.4111,58.84898,0,1
265.5771,55.2604,0.15,0.85
113.4722,37.02592,0.104,0.896
112.4763,37.45177,0.167,0.833
322.9805,0.2138075,0.111,0.889
331.9858,0.3701533,0.053,0.947
344.5969,0.2712227,0.064,0.936
346.4233,0.2934489,0.125,0.875
349.631,0.3271692,0.161,0.839
254.6535,31.73455,0,1
224.7592,54.07467,0.023,0.977
225.0867,53.87822,0.118,0.882
228.8657,52.10773,0.071,0.929
230.5578,51.36496,0.108,0.892
231.884,50.68179,0.109,0.891
245.7265,41.52058,0.143,0.857
247.4627,39.76653,0.023,0.977
250.4288,36.88175,0,1
213.0792,57.95839,0,1
253.1577,31.73459,0.105,0.895
233.7414,48.32766,0.175,0.825
239.6907,44.68396,0.125,0.875
218.4393,33.91358,0.086,0.914
218.8349,33.84613,0.062,0.938
220.3928,33.28037,0.077,0.923
227.8858,30.46536,0.029,0.971
217.088,35.40572,0.1,0.9
229.5041,30.69016,0.079,0.921
235.1526,28.51246,0.135,0.865
236.0063,28.27702,0.146,0.854
182.729,32.92859,0,1
186.085,32.98501,0.111,0.889
201.3983,31.93025,0.062,0.938
208.6189,30.9126,0.132,0.868
217.3193,28.82188,0.023,0.977
164.4714,31.85544,0,1
166.4876,32.18566,0,1
173.0118,32.86299,0.191,0.809
178.076,33.17683,0,1
178.4628,33.3649,0,1
192.5363,33.15915,0.023,0.977
202.3848,32.23974,0.128,0.872
206.1984,31.6157,0.159,0.841
210.3871,30.87843,0,1
223.5693,25.71157,0.19,0.81
225.5265,25.60151,0.023,0.977
226.9198,24.96393,0.132,0.868
142.3299,16.10243,0.125,0.875
186.0125,21.75963,0,1
189.7639,21.76446,0,1
198.1497,21.30502,0,1
198.8112,21.27502,0.114,0.886
221.306,17.75948,0.105,0.895
226.3562,16.41848,0.14,0.86
196.1377,4.540501,0.135,0.865
207.7939,4.361787,0.135,0.865
174.3966,5.002957,0,1
203.1301,4.80251,0.097,0.903
209.0906,4.601693,0.154,0.846
178.5816,5.529338,0.15,0.85
179.8971,5.47494,0.162,0.838
180.5475,5.499437,0,1
228.4865,30.93113,0.162,0.838
232.4001,29.14439,0.091,0.909
237.6876,26.62289,0.05,0.95
239.4449,25.66086,0.065,0.935
242.698,23.83426,0,1
138.1732,30.01498,0.138,0.862
138.7777,30.25861,0,1
160.1882,37.29513,0.094,0.906
176.9241,39.77122,0,1
186.9086,40.16048,0.053,0.947
192.705,39.81049,0.18,0.82
225.2106,1.337745,0.192,0.808
231.1768,1.256654,0,1
188.2557,2.334577,0.184,0.816
194.0706,2.337329,0,1
201.5087,2.280667,0,1
214.6828,2.051754,0,1
220.9555,1.925999,0.071,0.929
182.0463,2.878285,0.146,0.854
188.2452,2.877028,0.071,0.929
18.17546,1.14423,0.133,0.867
18.53846,1.250642,0.139,0.861
21.81095,1.153327,0.179,0.821
23.1858,1.197688,0,1
37.80521,1.244805,0.128,0.872
38.38155,1.139894,0.194,0.806
116.8181,26.95099,0.136,0.864
125.4322,34.77351,0.028,0.972
133.2717,40.49233,0.15,0.85
119.4103,30.10976,0.023,0.977
124.8797,34.96998,0,1
126.9996,36.80161,0,1
143.7598,46.77189,0,1
145.6154,8.899463,0,1
156.1333,10.29468,0.138,0.862
158.1341,10.50918,0,1
123.0244,5.713655,0,1
134.9137,7.823111,0.191,0.809
149.4666,9.851286,0.017,0.983
156.2798,10.62808,0,1
158.0583,11.24697,0,1
161.3522,11.6855,0,1
118.4752,52.24443,0,1
113.9835,47.52809,0.188,0.812
123.338,57.85224,0.138,0.862
135.0943,64.91438,0.073,0.927
144.7956,66.09039,0.195,0.805
114.5461,44.85946,0,1
118.4234,50.22281,0.172,0.828
119.3581,51.03345,0.083,0.917
120.5919,52.24965,0,1
120.5142,52.40078,0,1
127.1851,58.15162,0.136,0.864
131.0682,60.63146,0.161,0.839
239.6288,18.61877,0.087,0.913
251.3342,13.14061,0.059,0.941
218.3357,26.20794,0.14,0.86
220.0457,25.90765,0.143,0.857
206.6585,23.19604,0.162,0.838
179.4854,25.06828,0,1
180.0811,25.08336,0.189,0.811
192.4761,24.97511,0.069,0.931
175.1889,25.10085,0.033,0.967
186.8659,25.45391,0.176,0.824
128.1975,35.20063,0,1
134.126,38.94532,0.194,0.806
136.7637,40.65411,0.044,0.956
157.044,48.78217,0,1
195.6684,51.77893,0.152,0.848
119.8093,28.74609,0.029,0.971
157.1749,49.07185,0.087,0.913
193.8535,52.26771,0.116,0.884
215.539,9.04557,0.097,0.903
216.3561,8.790906,0.045,0.955
226.7502,7.813182,0,1
229.7977,7.483783,0.07,0.93
199.1957,10.4818,0,1
209.456,9.873378,0,1
215.7617,9.266914,0.158,0.842
226.7695,8.27288,0.042,0.958
167.0043,2.94502,0,1
167.8638,2.950517,0,1
173.6927,2.921052,0.033,0.967
179.2689,3.064907,0.026,0.974
205.0881,2.786499,0.111,0.889
205.3931,2.922392,0,1
205.9292,2.914664,0.195,0.805
208.2357,2.814274,0,1
